provider_name,mapped_name
Harkin Medical Centre Limited,Harkin Medical Centre Limited
Head and Neck Breast Surgery Centre Ltd,Head and Neck Breast Surgery Centre Ltd
Heal Central Medical Limited (SP),Heal Central Medical Limited (SP)
Health Concepts Limited,Health Concepts Limited
Health Maintenance Medical Practice Ltd,Health Maintenance Medical Practice Ltd
Healthwell Medical Centre Limited,Healthwell Medical Centre Limited
Healthy Physiotherapy Centre Limited,Healthy Physiotherapy Centre Limited
Ho Sai Fai Victor,Ho Sai Fai Victor
Hong Kong (International) Eye Care Group  Limited,Hong Kong (International) Eye Care Group  Limited
Hong Kong Adventist Hospital,Hong Kong Adventist Hospital
Hong Kong Adventist Hospital (Tai Koo),Hong Kong Adventist Hospital
Hong Kong Cardiac Diagnostic Centre Limited,Hong Kong Cardiac Diagnostic Centre Limited
Hong Kong Christian Service Clinic,Hong Kong Christian Service Clinic
Hong Kong Endoscopic Diagnosis And Therapy Centre Limited,Hong Kong Endoscopic Diagnosis And Therapy Centre Limited
Hong Kong Eye Care Professionals Limited,Hong Kong Eye Care Professionals Limited
Hong Kong Health Check and Medical Diagnostic Centre Limited,Hong Kong Health Check and Medical Diagnostic Centre Limited
Hong Kong Health Practice,Hong Kong Health Practice
Hong Kong Integrated Oncology Centre Limited,Hong Kong Integrated Oncology Centre Limited
Hong Kong Medical Consultants Ltd. (Dr. Leung Wing Hung),Hong Kong Medical Consultants Ltd.
Hong Kong Paediatric Surgery and Paediatric Urology Centre Limited,Virtus Medical Group Limited
Hong Kong Pain and Sports Physiotherapy,Hong Kong Pain and Sports Physiotherapy
Hong Kong Sanatorium & Hospital ( Family Medicine Centre),Hong Kong Sanatorium & Hospital
Hong Kong Surgical Specialists Limited,Hong Kong Surgical Specialists Limited
Hong Yee Medical Centre (Dr. Tsang Hin Wing),Hong Yee Medical Centre
Hong's Physiotherapy Centre,Hong's Physiotherapy Centre
Human Health Associate Limited,Human Health Associate Limited
Humansa Imaging Limited,Humansa Imaging Limited
Humphrey & Partners Medical Services Management Ltd (HUM),Humphrey & Partners Medical Services Management Ltd (HUM)
Insta Imaging Company Limited,Insta Imaging Company Limited
iRad Medical Holding Limited,iRad Medical Holding Limited
Joyful Medical Centre,Joyful Medical Centre
JP Partners Health Management Company Limited,JP Partners Health Management Company Limited
JP Partners Medical (Marketing) Ltd,JP Partners Health Management Company Limited
K.M. Hui Limited,K.M. Hui Limited
